Movie Report
-------------
FrameFrame #    Frame Bytes    Total Bytes    Page
------------    -----------    -----------    ---------------
    1         28778          28778        Scene 1
    2             2          28780          2
    3             2          28782          3
    4             2          28784          4
    5             2          28786          5
    6             2          28788          6
    7             2          28790          7
    8             2          28792          8
    9            10          28802          9
   10        149688         178490          10
   11             2         178492          11
   12             2         178494          12
   13             2         178496          13
   14             2         178498          14
   15             2         178500          15
   16          1918         180418          16
   17             2         180420          17
   18             2         180422          18
   19             2         180424          19
   20             2         180426          20
   21            15         180441          21
   22             6         180447          22
   23             2         180449          23
   24             2         180451          24
   25             2         180453          25
   26             2         180455          26
   27             2         180457          27
   28             2         180459          28
   29             2         180461          29
   30             2         180463          30
   31         99334         279797          31
   32             2         279799          32
   33             2         279801          33
   34             2         279803          34
   35             2         279805          35
   36             2         279807          36
   37           118         279925          37
   38          5095         285020          38
   39             2         285022          39
   40             2         285024          40
   41             2         285026          41
   42         23103         308129          42
   43            98         308227          43
   44            98         308325          44
   45            98         308423          45
   46            58         308481          46
   47             2         308483          47
   48             2         308485          48
   49             2         308487          49
   50            13         308500          50
   51             2         308502          51
   52             2         308504          52
   53             2         308506          53
   54             2         308508          54
   55             2         308510          55
   56             2         308512          56
   57             2         308514          57
   58          4017         312531          58
   59            98         312629          59
   60            98         312727          60
   61            98         312825          61
   62            58         312883          62
   63             2         312885          63
   64             2         312887          64
   65             2         312889          65
   66             2         312891          66
   67            14         312905          67
   68             2         312907          68
   69             2         312909          69
   70             2         312911          70
   71             2         312913          71
   72             2         312915          72
   73             2         312917          73
   74           167         313084          74
   75             6         313090          75
   76            25         313115          76
   77             2         313117          77
   78             6         313123          78
   79            25         313148          79
   80             2         313150          80
   81            10         313160          81
   82         24175         337335          82
   83             2         337337          83
   84             2         337339          84
   85             2         337341          85
   86             2         337343          86
   87             2         337345          87
   88          4470         341815          88
   89        359260         701075          89
   90             2         701077          90
   91             2         701079          91
   92             2         701081          92
   93             2         701083          93
   94             2         701085          94
   95          2009         703094          95
   96          9369         712463          96
   97             2         712465          97
   98             2         712467          98
   99             2         712469          99
  100             2         712471          100
  101             2         712473          101
  102            63         712536          102
  103             2         712538          103
  104             2         712540          104
  105             2         712542          105
  106             2         712544          106
  107             2         712546          107
  108             2         712548          108
  109             2         712550          109
  110             2         712552          110
  111             2         712554          111
  112             2         712556          112
  113             2         712558          113
  114             2         712560          114
  115             2         712562          115
  116             2         712564          116
  117             2         712566          117
  118             2         712568          118
  119             2         712570          119
  120             2         712572          120
  121             2         712574          121
  122             2         712576          122
  123             2         712578          123
  124             2         712580          124
  125             2         712582          125
  126             2         712584          126
  127             2         712586          127
  128             2         712588          128
  129             2         712590          129
  130             2         712592          130
  131             2         712594          131
  132             2         712596          132
  133             2         712598          133
  134             2         712600          134
  135             2         712602          135
  136             2         712604          136
  137             2         712606          137
  138            10         712616          138
  139            14         712630          139

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Scene 1                         703          5060

Embedded Objects               1281             0

Page                       Symbol Bytes    Text Bytes
-----------------------    ------------    ----------
son_victoire                      0             0
loupe                             0             0
mouchaze                          0             0
moche_bzz                         0             0
shoot_mouche                  29772             0
restore_mouche                14283             0
Symbol 117                        0             0
fl_back                          48             0
mouchasse_bouge                   0             0
mochevol                          0             0
moche_ombre                       0             0
moucheback                     2002             0
Symbol 123                        0             0
mouch_stop                        0             0
mouchasse                         0             0
bt_empreinte                     67             0
empreinte17                   16982             0
bt_next                         161            64
preloader                        36            33
progress_bar                      0             0
barre                            35             0
