id;title;client;year;type;description;link;secteur;Contexte;Reponse;outils;technologies;image;mediapath;missions;valid;order
4;MINI-SITE OT - FINLANDE;OT - FINLANDE;2002;MINI-SITE;Interface de Préseantation pour l'Office de Tourisme de Finlande;www.finland-tourism.com;Tourisme;;;Flash, Director;ActionScript 2;rea_cd_finlande_diapo.jpg;rea_cd_finlande;;;
3;Catalogue Online GAULOISES MatPub;GAULOISES MatPub;2009;Catalogue Online;Catalogue interactif de Matériel Publicitaire pour Gauloises, destiné au B to B. Adaptable en version CD-ROM;www.gauloises-matpub.com;Tabacs et spiritueux;;;ActionScript 2, Flash MX, PHP, MySQL.;ActionScript, PHP, MySQL.;rea_cd_gauloises_diapo.jpg;rea_webcat_gauloises;;;
2;MINI-SITE MARMARA;MARMARA;2004;MINI-SITE;Réalisation Interface Interactive Commerciale pour le Tour Opérator MARMARA.;www.marmara.com;Tourisme;;;Flash 4, DreamWeaver, Développement XML, actionScript 2;HTML, CSS, ActionScript, Javascript, XML;rea_cd_marmara_diapo.jpg;rea_cd_marmara;;;
1;MINI-SITE MEDICIS;MEDICIS;2002;MINI-SITE;Réalisation d'une carte de visite virtuelle de l'agence de communication Médicis;www.agence-medicis.com;Communication;;;"Création du contenu Sonore (SoundForge / CakeWalk).
Conception / Animation (Pack Macromédia / Adobe).";"Création du contenu Sonore (SoundForge / CakeWalk).
Conception / Animation (Pack Macromédia / Adobe).";rea_cd_medicis_diapo.jpg;rea_cd_medicis;;;
16;Site Internet VISITMALTA;VISITMALTA;2001;Site Internet;"Site pour l'Office du tourisme de Malte.
Création / Montage HMTL / Programmation PHP-MySQL du Back Office
";www.visitmalta.com;Tourisme;;;Flash;ActionScript;rea_map_malte_diapo.jpg;rea_web_malte;;;
41;Pub on line CAMPING TYCOON;CAMPING TYCOON;2008;Pub on line;Campagne Publicitaire Online pour le lancement du Jeu Camping Tycoon;;Loisirs-Musique;;;;0;rea_pub_camping_diapo.jpg;rea_pub_camping;;;
26;Pub on line CHEVROLET;CHEVROLET;2005;Pub on line;Campagne Online pour chevrolet;0;Auto-Moto;;;Flash;ActionScript;rea_pub_chevrolet_diapo.jpg;rea_pub_chevrolet;;;
25;Pub on line DAEWOO;DAEWOO;2004;Pub on line;Réalisation de la campagne online pour Daewoo;0;Auto-Moto;;;Flash;ActionScript;rea_pub_daewoo_diapo.jpg;rea_pub_daewoo;;;
17;Pub on line ESSELTE;ESSELTE;2003;Pub on line;Bannière flash pour Esselte;0;Industries-Equipement;;;Flash, DreamWeaver, Macromedia, Photoshop;ActionScript, HTML, CSS, Javascript;rea_pub_esselte_diapo.jpg;rea_pub_esselte;;;
42;Pub on line PACIFIC STORM;PACIFIC STORM;2008;Pub on line;Campagne Publicitaire Online pour le lancement du Jeu CD-ROM Pacific Storm;;Loisirs-Musique;;;;0;rea_pub_pacific_diapo.jpg;rea_pub_pacific;;;
43;Pub on line POKER ACADEMY;POKER ACADEMY;2008;Pub on line;Campagne Publicitaire Online pour le lancement du Jeu CD-ROM Poker Academy;;Loisirs-Musique;;;;0;rea_pub_poker_diapo.jpg;rea_pub_poker;;;
46;Pub on line TMS;TMS;2007;Pub on line;Campagne Online Assurances TMS;0;Banque-Assurances;;;Flash;ActionScript;rea_pub_tms_diapo.jpg;rea_pub_tms;;;
69;Pub on line TRAINZ;TRAINZ;2008;Pub on line;Campagne Publicitaire Online pour le lancement du Jeu CD-ROM Trainz;;Loisirs-Musique;;;;;rea_pub_trainz_diapo.jpg;rea_pub_trainz;;;
10;Pub on line WANADOO;WANADOO;2004;Pub on line;0;0;Industries-Equipement;;;Flash;ActionScript;rea_pub_wanadoo_diapo.jpg;rea_pub_wanadoo;;;
44;Pub on line WENGO;WENGO;2008;Pub on line;Campagne Publicitaire Online pour le lancement du Site Wengo;;Emploi;;;;0;rea_pub_wengo_diapo.jpg;rea_pub_wengo;;;
7;ScreenSaver SACLA;SACLA;2005;ScreenSaver;Réalisation d'un screensaver incluant vidéos et animation Flash pour la promotion d'une nouvelle gamme;0;Alimentaire;;;Flash;ActionScript;rea_screen_sacla_diapo.jpg;rea_screen_sacla;;;
32;Catalogue Online GAULOISES Merchandising;GAULOISES Merchandising;2007;Catalogue Online;Catalogue interactif de PLV pour Gauloises, destiné au B to B.;gauloises-merchandising.com;Tabacs et spiritueux;;;Flash, Illustrator, Photoshop, Fireworks;ActionScript,HTML, CSS, Javascript;rea_webcat_gauloises_diapo.jpg;rea_cd_gauloises;;;
45;Site Internet EDITIONS 10-18;EDITIONS 10-18;2003;Site Internet;Site Jeu concours Sur 1 an pour les éditions 10 18;;Edition;;;;0;rea_web_1018_diapo.jpg;rea_web_1018;;;
31;Site Internet OT AFRIQUE DU SUD;OT AFRIQUE DU SUD;2005;Site Internet;Appel de l'Afrique du sud - Campagne média, mini-site extranet membre consacré à la promotion des voyages en ADS - Tour Opérators;0;Tourisme;;;Flash, HTML, CSS, PHP, Javascript;ActionScript, HTML, CSS, PHP, Javascript;rea_web_ads_diapo.jpg;rea_web_ads;;;
12;Site Internet ART et FENETRES;ART et FENETRES;2005;Site Internet;0;http://daranweb.free.fr/portfolio/website_artEtFenetre/index.html;Industries-Equipement;;;Flash;ActionScript;rea_web_artFenetres_diapo.jpg;rea_web_artFenetres;;;
54;Site Internet CARRE SENART;CARRE SENART;2011;Site Internet;Jeux sur tablettes tactiles pour l'espace enfant du Carré Sénart - Centre Commercial de Melun Sénart.;;Loisirs-Musique;;;;0;rea_web_carresenart_diapo.jpg;rea_web_carresenart;;;
