id;title;client;year;type;description;link;secteur;Contexte;Reponse;outils;technologies;image;mediapath;medias;missions;valid;order
4;MINI-SITE OT - FINLANDE;OT - FINLANDE;2002;MINI-SITE;Interface de Préseantation pour l'Office de Tourisme de Finlande;www.finland-tourism.com;Tourisme;;Interface Flash,Animation Flash,ActionScript,Site Vitrine,Maquette-prospection;[Flash|Director];[ActionScript];rea_cd_finlande_diapo.jpg;rea_cd_finlande;[];Proposer aux Tour Opérator une présentation des atouts de la Finlande;1;4
3;Catalogue Online GAULOISES MatPub;GAULOISES MatPub;2009;Catalogue Online;Catalogue interactif de Matériel Publicitaire pour Gauloises, destiné au B to B. Adaptable en version CD-ROM;www.gauloises-matpub.com;Tabacs et spiritueux;;Interface Flash,Animation FlashActionScript,Site Dynamique;[ActionScript 2|Flash MX|PHP|MySQL.];[ActionScript|PHP|MySQL.];rea_cd_gauloises_diapo.jpg;rea_webcat_gauloises;[];Proposer un outil de présentation interactif des objets Matpub, permettant également une gestion des commandes.;1;55
2;MINI-SITE MARMARA;MARMARA;2004;MINI-SITE;Réalisation Interface Interactive Commerciale pour le Tour Opérator MARMARA.;www.marmara.com;Tourisme;;Interface Flash,Animation Flash,ActionScript,Site Dynamique,Vidéo en ligne,Quitime VR;[Flash 4|DreamWeaver|Développement XML|actionScript 2];[HTML|CSS|ActionScript|Javascript|XML];rea_cd_marmara_diapo.jpg;rea_cd_marmara;[];Outil d'aide à la vente destiné aux agences de voyage et aux clients finaux.;1;2
1;MINI-SITE MEDICIS;MEDICIS;2002;MINI-SITE;Réalisation d'une carte de visite virtuelle de l'agence de communication Médicis;www.agence-medicis.com;Communication;;Fond Sonore,Interface Flash,Animation Flash,ActionScript,Site Vitrine,Site Institutionnel,Agence publicité;"[Création du contenu Sonore (SoundForge / CakeWalk).
Conception / Animation (Pack Macromédia / Adobe).]";[HTML|CSS|ActionScript|Javascript|XML];rea_cd_medicis_diapo.jpg;rea_cd_medicis;[];"Proposer aux prospect une CD-Carte de visite contenant le mini-site de présentation de Médicis.

";1;55
7;ScreenSaver SACLA;SACLA;2005;ScreenSaver;Réalisation d'un screensaver incluant vidéos et animation Flash pour la promotion d'une nouvelle gamme;0;Alimentaire;;Animation Flash,Newsletter,ScreenSaver;[Flash];[ActionScript];rea_screen_sacla_diapo.jpg;rea_screen_sacla;[];Réalisée en Flash, cette animation a été adaptée aux différents OS (Windows / Mac);1;3
32;Catalogue Online GAULOISES Merchandising;GAULOISES Merchandising;2007;Catalogue Online;Catalogue interactif de PLV pour Gauloises, destiné au B to B.;gauloises-merchandising.com;Tabacs et spiritueux;;Interface Flash,Animation FlashActionScript,Site Dynamique;[Flash|Illustrator|Photoshop|Fireworks];[ActionScript,HTML|CSS|Javascript];rea_webcat_gauloises_diapo.jpg;rea_cd_gauloises;[];Proposer un outil de présentation interactif des PLV Gauloises. Intégrer un outil d'update des objets.;1;55
45;Site Internet EDITIONS 10-18;EDITIONS 10-18;2003;Site Internet;Site Jeu concours Sur 1 an pour les éditions 10 18;;Edition;;Fond Sonore,Interface Flash,Animation Flash,ActionScript,Jeux en ligne,Back Office;[];[ActionScript|PHP|SQL|HTML|CSS,Javacript];rea_web_1018_diapo.jpg;rea_web_1018;[];Fond Sonore,Interface Flash,Animation Flash,ActionScript,Jeux en ligne,Back Office...;1;55
55;Site Internet CLESTRA CLEANROOM;CLESTRA CLEANROOM;2011;Site Internet;Site Internet Administré pour la Branche Cleanroom du Groupe Clestra Hauserman;www.clestra-cleanroom.com;Industries-Equipement;Proposer un site vitrine entièrement administrable et sécurisé présentant les prestations de Clestra France;Mise en place d'un site Dynamique, doté d'un Back Office propriétaire;[Flex|Flash|Pack Adobe|Apache Server|Eclipse|UltraEdit32];[HTML|CSS|JQuery|MySQL|PHP|ActionScript];rea_web_clestra_diapo.jpg;rea_web_clestra;[01.jpg|02.jpg|03.jpg|04.jpg|05.jpg|06.jpg|07.jpg|08.jpg|09.jpg|10.jpg|11.jpg|12.jpg];Création d'une interface HTML|Montage CSS|animation JQuery|Déploiement d'un backend en Flex dédié|mise en place d'une base SQL|Programmation PHP;2;12
28;Site Internet CLOZEAU CREATEUR;CLOZEAU CREATEUR;2006;Site Internet;Création du site dédié au bijoutier;www.clozeau.fr;Luxe;;Fond Sonore,Interface Flash,Animation Flash,ActionScript,Site Dynamique,Site Institutionnel;[HTML|CSS|PHP|,Flash|Javascript|MySQL];[HTML|CSS|PHP|ActionScript|Javascript|MySQL];rea_web_clozeau_diapo.jpg;rea_web_clozeau;[];Fond Sonore,Interface,Animations,ActionScript,Site Dynamique,Site Institutionnel;1;55
21;Site Internet DOC-BIKER;DOC-BIKER;2010;Site Internet;Réalisation complète du Site Internet, optimisation SEO, Webmastering;www.docbiker.com;Auto-Moto;;Site Dynamique;[HTML|CSS|JQuery|MySQL|PHP|Back Office dédié];[HTML|CSS|JQuery|MySQL|PHP|Back Office dédié];rea_web_docbiker_diapo.jpg;rea_web_docbiker;[];Objectif : Effectuer une transition du site en flash vers un site visible par les moteurs de recherches.;1;55
