id;title;client;year;type;description;link;secteur;Contexte;Reponse;outils;technologies;image;mediapath;;valid;order
4;MINI-SITE OT - FINLANDE;OT - FINLANDE;2002;MINI-SITE;Interface de Préseantation pour l'Office de Tourisme de Finlande;www.finland-tourism.com;Tourisme;;Interface Flash,Animation Flash,ActionScript,Site Vitrine,Maquette-prospection;[Flash| Director];[ActionScript 2];rea_cd_finlande_diapo.jpg;rea_cd_finlande;Proposer aux Tour Opérator une présentation des atouts de la Finlande;;
3;Catalogue Online GAULOISES MatPub;GAULOISES MatPub;2009;Catalogue Online;Catalogue interactif de Matériel Publicitaire pour Gauloises, destiné au B to B. Adaptable en version CD-ROM;www.gauloises-matpub.com;Tabacs et spiritueux;;Interface Flash,Animation FlashActionScript,Site Dynamique;[ActionScript 2| Flash MX| PHP| MySQL.];[ActionScript| PHP| MySQL.];rea_cd_gauloises_diapo.jpg;rea_webcat_gauloises;Proposer un outil de présentation interactif des objets Matpub, permettant également une gestion des commandes.;;
2;MINI-SITE MARMARA;MARMARA;2004;MINI-SITE;Réalisation Interface Interactive Commerciale pour le Tour Opérator MARMARA.;www.marmara.com;Tourisme;;Interface Flash,Animation Flash,ActionScript,Site Dynamique,Vidéo en ligne,Quitime VR;[Flash 4| DreamWeaver| Développement XML| actionScript 2];[HTML| CSS| ActionScript| Javascript| XML];rea_cd_marmara_diapo.jpg;rea_cd_marmara;Outil d'aide à la vente destiné aux agences de voyage et aux clients finaux.;;
1;MINI-SITE MEDICIS;MEDICIS;2002;MINI-SITE;Réalisation d'une carte de visite virtuelle de l'agence de communication Médicis;www.agence-medicis.com;Communication;;Fond Sonore,Interface Flash,Animation Flash,ActionScript,Site Vitrine,Site Institutionnel,Agence publicité;"[Création du contenu Sonore (SoundForge / CakeWalk).
Conception / Animation (Pack Macromédia / Adobe).]";[HTML| CSS| ActionScript| Javascript| XML];rea_cd_medicis_diapo.jpg;rea_cd_medicis;"Proposer aux prospect une CD-Carte de visite contenant le mini-site de présentation de Médicis.

";;
16;Site Internet VISITMALTA;VISITMALTA;2001;Site Internet;"Site pour l'Office du tourisme de Malte.
Création / Montage HMTL / Programmation PHP-MySQL du Back Office
";www.visitmalta.com;Tourisme;;Interface Flash,Animation Flash,ActionScript,Banniere,Site Dynamique,Banniere Flash,Video en ligne,Quitime VR,Back Office;[Flash];[ActionScript];rea_map_malte_diapo.jpg;rea_web_malte;;;
41;Pub on line CAMPING TYCOON;CAMPING TYCOON;2008;Pub on line;Campagne Publicitaire Online pour le lancement du Jeu Camping Tycoon;;Loisirs-Musique;;Animation Flash, Pub Online;[];[Flash| GIF Animé];rea_pub_camping_diapo.jpg;rea_pub_camping;;;
26;Pub on line CHEVROLET;CHEVROLET;2005;Pub on line;Campagne Online pour chevrolet;0;Auto-Moto;;Animation Flash,ActionScript,Bannière,Banniere Flash,Video en ligne;[Flash];[ActionScript];rea_pub_chevrolet_diapo.jpg;rea_pub_chevrolet;;;
25;Pub on line DAEWOO;DAEWOO;2004;Pub on line;Réalisation de la campagne online pour Daewoo;0;Auto-Moto;;Animation Flash,ActionScript,Bannière,Banniere Flash,Video en ligne;[Flash];[ActionScript];rea_pub_daewoo_diapo.jpg;rea_pub_daewoo;;;
17;Pub on line ESSELTE;ESSELTE;2003;Pub on line;Bannière flash pour Esselte;0;Industries-Equipement;;Animation Flash,Newsletter;[Flash| DreamWeaver| Macromedia| Photoshop];[ActionScript| HTML| CSS| Javascript];rea_pub_esselte_diapo.jpg;rea_pub_esselte;;;
42;Pub on line PACIFIC STORM;PACIFIC STORM;2008;Pub on line;Campagne Publicitaire Online pour le lancement du Jeu CD-ROM Pacific Storm;;Loisirs-Musique;;Animation Flash, Pub Online;[];[Flash| GIF Animé];rea_pub_pacific_diapo.jpg;rea_pub_pacific;;;
43;Pub on line POKER ACADEMY;POKER ACADEMY;2008;Pub on line;Campagne Publicitaire Online pour le lancement du Jeu CD-ROM Poker Academy;;Loisirs-Musique;;Animation Flash, Pub Online;[];[Flash| GIF Animé];rea_pub_poker_diapo.jpg;rea_pub_poker;;;
46;Pub on line TMS;TMS;2007;Pub on line;Campagne Online Assurances TMS;0;Banque-Assurances;;Site Vitrine,Banniere, ScreenSaver;[Flash];[ActionScript];rea_pub_tms_diapo.jpg;rea_pub_tms;;;
69;Pub on line TRAINZ;TRAINZ;2008;Pub on line;Campagne Publicitaire Online pour le lancement du Jeu CD-ROM Trainz;;Loisirs-Musique;;;[];[];rea_pub_trainz_diapo.jpg;rea_pub_trainz;#N/A;;
